alpha0,beta0,prior_scale_1,mean_delta_vs_stageA,mean_nig_benefit,delta_p1,delta_p2,delta_p3,delta_p4,delta_p5,delta_p6,delta_p7,delta_p8,delta_p9,delta_p10,delta_p11,delta_p12,delta_p13,delta_p14,delta_p15,delta_p16,delta_p17,delta_p18,delta_p19,delta_p20,delta_p21,delta_p22,delta_p23,delta_p24,delta_p25,delta_p26,delta_p27,delta_p28,delta_p29,delta_p30,delta_p31,delta_p32,delta_p33,delta_p34,delta_p35,delta_p36,delta_p37,delta_p38,delta_p39,delta_p40,delta_p41,delta_p42,delta_p43,delta_p44,delta_p45,delta_p46,delta_p47,delta_p48,delta_p49,delta_p50,delta_p51,delta_p52,delta_p53,delta_p54,delta_p55,delta_p56,delta_p57,delta_p58
0.550000,0.127084,0.492000,-0.164209,1.203541,0.000000,-2.964375,0.000000,0.300750,0.000000,-0.173125,-0.983250,-1.527813,0.000000,0.000000,0.770813,-0.053000,-0.380625,0.000000,0.209812,9.784688,-1.158625,-0.752187,0.000000,-0.774625,0.922000,-0.330500,-0.888125,0.787000,-0.398750,-0.518812,0.022312,0.000000,-0.462125,-0.557813,0.000000,0.000000,-0.909375,0.000000,-0.047313,-0.161812,0.080312,-1.072250,0.000000,0.044000,-0.122625,0.014875,0.000000,-0.009750,-2.136062,0.680625,0.000000,-0.066000,-1.848937,0.000000,0.000000,0.000000,0.045312,-1.233438,-1.425813,0.162750,-1.207500,-1.184750
0.550000,0.032813,0.250000,-0.079502,1.288248,0.000000,-2.964375,0.000000,-1.164437,0.000000,-1.963000,0.000000,-0.352187,0.000000,0.000000,0.580500,0.000000,0.000000,0.000000,0.209812,9.481938,-1.158625,-1.110187,0.000000,0.000000,0.922000,-0.189188,0.000000,0.787000,0.000000,0.000000,-0.267750,0.000000,-0.462125,0.000000,0.000000,0.000000,-0.909375,0.182313,0.208250,0.000000,0.080312,-0.716125,0.000000,0.044000,-0.122625,0.014875,0.000000,0.000000,-1.642875,0.408625,0.000000,-0.011625,-1.848937,0.000000,0.000000,0.000000,0.000000,0.000000,-1.425813,0.162750,-0.849563,-0.534688
0.550000,0.127084,0.492000,-0.164209,1.203541,0.000000,-2.964375,0.000000,0.300750,0.000000,-0.173125,-0.983250,-1.527813,0.000000,0.000000,0.770813,-0.053000,-0.380625,0.000000,0.209812,9.784688,-1.158625,-0.752187,0.000000,-0.774625,0.922000,-0.330500,-0.888125,0.787000,-0.398750,-0.518812,0.022312,0.000000,-0.462125,-0.557813,0.000000,0.000000,-0.909375,0.000000,-0.047313,-0.161812,0.080312,-1.072250,0.000000,0.044000,-0.122625,0.014875,0.000000,-0.009750,-2.136062,0.680625,0.000000,-0.066000,-1.848937,0.000000,0.000000,0.000000,0.045312,-1.233438,-1.425813,0.162750,-1.207500,-1.184750
0.550000,0.221813,0.650000,-0.334044,1.033706,0.639625,-2.964375,0.000000,0.300750,0.490875,-2.024750,-3.177062,-1.527813,0.000000,0.000000,1.065000,-0.132000,-0.380625,-2.297250,0.209812,11.993500,-1.720500,-1.639250,0.000000,-0.357000,0.922000,-0.377188,-0.888125,0.501312,-0.398750,-0.518812,0.022312,0.000000,-2.358438,-0.419000,0.000000,0.000000,-2.270500,-0.103687,-0.047313,-0.161812,-0.303313,-1.072250,0.000000,0.044000,-0.122625,0.168000,-1.178125,-0.009750,-2.136062,0.680625,-0.589438,-0.149625,0.622812,0.000000,0.000000,0.000000,0.045312,-1.856625,-2.227375,0.162750,-2.035500,-1.798313
0.550000,0.127084,0.492000,-0.164209,1.203541,0.000000,-2.964375,0.000000,0.300750,0.000000,-0.173125,-0.983250,-1.527813,0.000000,0.000000,0.770813,-0.053000,-0.380625,0.000000,0.209812,9.784688,-1.158625,-0.752187,0.000000,-0.774625,0.922000,-0.330500,-0.888125,0.787000,-0.398750,-0.518812,0.022312,0.000000,-0.462125,-0.557813,0.000000,0.000000,-0.909375,0.000000,-0.047313,-0.161812,0.080312,-1.072250,0.000000,0.044000,-0.122625,0.014875,0.000000,-0.009750,-2.136062,0.680625,0.000000,-0.066000,-1.848937,0.000000,0.000000,0.000000,0.045312,-1.233438,-1.425813,0.162750,-1.207500,-1.184750
0.550000,0.064312,0.350000,-0.107640,1.260110,0.000000,-2.964375,0.000000,0.300750,0.000000,-0.173125,-2.009250,-0.352187,0.000000,0.000000,0.580500,-0.023250,-0.380625,0.000000,0.209812,9.481938,-1.158625,-1.059125,0.000000,0.000000,0.922000,-0.235875,-0.888125,0.787000,0.000000,0.000000,-0.267750,0.000000,-0.462125,0.000000,0.000000,0.000000,-0.909375,0.000000,-0.158500,0.000000,0.080312,-0.716125,0.000000,0.044000,-0.122625,0.014875,0.000000,0.000000,-1.642875,0.408625,0.000000,-0.026500,-1.848937,0.000000,0.000000,0.000000,0.000000,-0.376188,-1.425813,0.162750,-0.849563,-1.184750
0.550000,0.221813,0.650000,-0.334044,1.033706,0.639625,-2.964375,0.000000,0.300750,0.490875,-2.024750,-3.177062,-1.527813,0.000000,0.000000,1.065000,-0.132000,-0.380625,-2.297250,0.209812,11.993500,-1.720500,-1.639250,0.000000,-0.357000,0.922000,-0.377188,-0.888125,0.501312,-0.398750,-0.518812,0.022312,0.000000,-2.358438,-0.419000,0.000000,0.000000,-2.270500,-0.103687,-0.047313,-0.161812,-0.303313,-1.072250,0.000000,0.044000,-0.122625,0.168000,-1.178125,-0.009750,-2.136062,0.680625,-0.589438,-0.149625,0.622812,0.000000,0.000000,0.000000,0.045312,-1.856625,-2.227375,0.162750,-2.035500,-1.798313
0.550000,0.379312,0.850000,-0.488989,0.878760,0.639625,-2.964375,0.000000,0.300750,0.490875,-0.321000,-3.177062,-2.362687,0.000000,-2.735312,1.257500,-0.237000,-0.380625,-2.297250,-0.082500,17.185000,-1.720500,-1.639250,-0.017437,-0.694312,0.922000,-0.549375,-3.094312,0.501312,-0.869000,-0.518812,0.022312,0.248000,-2.358438,-0.419000,0.062125,0.000000,-2.270500,-0.420875,-0.600250,-0.406500,-0.303313,-1.072250,0.000000,0.044000,-0.122625,0.168000,-1.178125,-0.009750,-2.587187,1.012250,0.124562,-0.184000,-2.865750,0.000000,0.000000,0.000000,0.045312,-3.650688,-4.178813,0.078813,-2.505563,-2.669375
0.550000,0.221813,0.650000,-0.334044,1.033706,0.639625,-2.964375,0.000000,0.300750,0.490875,-2.024750,-3.177062,-1.527813,0.000000,0.000000,1.065000,-0.132000,-0.380625,-2.297250,0.209812,11.993500,-1.720500,-1.639250,0.000000,-0.357000,0.922000,-0.377188,-0.888125,0.501312,-0.398750,-0.518812,0.022312,0.000000,-2.358438,-0.419000,0.000000,0.000000,-2.270500,-0.103687,-0.047313,-0.161812,-0.303313,-1.072250,0.000000,0.044000,-0.122625,0.168000,-1.178125,-0.009750,-2.136062,0.680625,-0.589438,-0.149625,0.622812,0.000000,0.000000,0.000000,0.045312,-1.856625,-2.227375,0.162750,-2.035500,-1.798313
0.550000,0.127084,0.492000,-0.164209,1.203541,0.000000,-2.964375,0.000000,0.300750,0.000000,-0.173125,-0.983250,-1.527813,0.000000,0.000000,0.770813,-0.053000,-0.380625,0.000000,0.209812,9.784688,-1.158625,-0.752187,0.000000,-0.774625,0.922000,-0.330500,-0.888125,0.787000,-0.398750,-0.518812,0.022312,0.000000,-0.462125,-0.557813,0.000000,0.000000,-0.909375,0.000000,-0.047313,-0.161812,0.080312,-1.072250,0.000000,0.044000,-0.122625,0.014875,0.000000,-0.009750,-2.136062,0.680625,0.000000,-0.066000,-1.848937,0.000000,0.000000,0.000000,0.045312,-1.233438,-1.425813,0.162750,-1.207500,-1.184750
